epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,8342.53,0.32897,0.22811,0.85627,0.9909,0.99488,0.99439,0.95761,0.30095,0.16564,0.78518,2.4076e-05,2.4076e-05,2.4076e-05
40,8488.71,0.32648,0.2241,0.8516,0.99103,0.99432,0.99435,0.95946,0.2963,0.16337,0.78414,2.2078e-05,2.2078e-05,2.2078e-05
41,8663.83,0.25826,0.16342,0.80043,0.98812,0.99393,0.99405,0.95988,0.29976,0.16401,0.78729,2.008e-05,2.008e-05,2.008e-05
42,8834.34,0.25185,0.15873,0.79583,0.99302,0.99153,0.99381,0.96027,0.29807,0.16209,0.78483,1.8082e-05,1.8082e-05,1.8082e-05
43,8995.87,0.24937,0.15601,0.79674,0.99171,0.98906,0.99379,0.95968,0.30105,0.16375,0.7865,1.6084e-05,1.6084e-05,1.6084e-05
44,9193.4,0.24803,0.15603,0.79727,0.98895,0.99608,0.99441,0.96398,0.29603,0.16358,0.78563,1.4086e-05,1.4086e-05,1.4086e-05
45,9388.55,0.24535,0.15313,0.79854,0.99304,0.99442,0.99438,0.96284,0.29636,0.16131,0.78504,1.2088e-05,1.2088e-05,1.2088e-05
46,9616.85,0.24395,0.15067,0.79322,0.9938,0.99191,0.99448,0.96307,0.29603,0.16012,0.78508,1.009e-05,1.009e-05,1.009e-05
47,9802.5,0.24255,0.14923,0.79204,0.99317,0.99201,0.99392,0.9617,0.29475,0.16019,0.78271,8.092e-06,8.092e-06,8.092e-06
48,10035.8,0.24239,0.14919,0.79427,0.99256,0.99224,0.99442,0.96362,0.29484,0.15929,0.78512,6.094e-06,6.094e-06,6.094e-06
49,10225.5,0.24011,0.14818,0.79325,0.994,0.99323,0.99418,0.96266,0.29313,0.15776,0.78488,4.096e-06,4.096e-06,4.096e-06
50,10406.9,0.23752,0.14553,0.79281,0.9902,0.99572,0.99428,0.96341,0.29524,0.15817,0.78513,2.098e-06,2.098e-06,2.098e-06
